id,skills,education,experience_years,role
1235,"devops, hadoop, pytest, sql, typescript",PhD,9,Backend Developer
1236,"angular, dotnet, excel, jira, leadership, swift, vue",Bachelors,7,Product Manager
1237,"azure, communication, csharp, docker, elasticsearch, excel, gitlab, testing",Masters,9,DevOps Engineer
1238,"communication, kubernetes, nosql, php, react, technical_writing",PhD,1,Technical Writer
1239,"aws, cicd, computer_vision, cypress, data_analysis, javascript, sql, swift",Bachelors,1,Software Developer
1240,"aws, cybersecurity, project_management, rust",PhD,7,Machine Learning Engineer
1241,"aws, powershell, rails, swift",PhD,10,Systems Administrator
1242,"gitlab, kotlin, postgresql, tensorflow",PhD,9,Machine Learning Engineer
1243,"data_viz, html, networking, powerbi, technical_writing",Masters,10,Cybersecurity Analyst
1244,"communication, express, gitlab, powerbi, project_management",Bachelors,10,Data Analyst
1245,"cpp, css, gitlab, linux, microservices, testing, typescript, websockets",Masters,7,Frontend Developer
1246,"data_viz, docker, jenkins",Bachelors,12,DevOps Engineer
1247,"jira, postgresql, r",Bootcamp,4,Database Administrator
1248,"elasticsearch, ethereum, public_speaking, rest_apis, scala",Bootcamp,2,UX/UI Designer
1249,"apache, aws, cicd, data_analysis, linux, ui_design",Bootcamp,8,DevOps Engineer
1250,"django, html, ux_research",Bootcamp,0,Frontend Developer
1251,"elasticsearch, mongodb, nginx, pytest",Bootcamp,14,QA Engineer
1252,"firebase, nginx, postgresql, technical_writing",Masters,10,Technical Writer
1253,"machine_learning, microservices, php, powershell",Bootcamp,8,Solutions Architect
1254,"jenkins, mongodb_atlas, testing",Masters,8,Frontend Developer
1255,"angular, networking, rabbitmq, rails, ux_research",Bachelors,0,Systems Administrator
1256,"css, docker, java, linux, nlp, php, public_speaking",Bachelors,7,Software Developer
1257,"apache_spark, kubernetes, mongodb, numpy, photoshop, scikit_learn",Bachelors,9,DevOps Engineer
1258,"agile, data_viz, docker, nginx, nodejs, scala, technical_writing",PhD,14,Backend Developer
1259,"data_viz, dotnet, excel, grpc, kotlin, kubernetes, photoshop, redis",Bachelors,0,Backend Developer
1260,"cpp, illustrator, nodejs, rest_apis, ui_design",Bootcamp,11,Robotics Engineer
1261,"angular, python, rails, redis, rest_apis, ruby",Bachelors,1,Backend Developer
1262,"azure, cybersecurity, express, nodejs, pandas, rails, ruby, typescript",Masters,7,Cybersecurity Analyst
1263,"csharp, firebase, gcp, go, technical_writing, ui_design",Bootcamp,10,DevOps Engineer
1264,"data_viz, deep_learning, grpc, nosql, tableau",Bootcamp,5,Data Scientist
1265,"cicd, gitlab, technical_writing",Bachelors,9,DevOps Engineer
1266,"agile, cypress, data_analysis, spring, ui_design",Bachelors,10,Project Manager
1267,"angular, git, github_actions, jenkins, postgresql, ruby, tableau, ui_design",Bachelors,7,DevOps Engineer
1268,"csharp, gcp, hadoop, junit, rust, tableau, technical_writing, tensorflow",Bachelors,0,QA Engineer
1269,"github_actions, grpc, laravel, linux, powershell, pytest",PhD,7,Cybersecurity Analyst
1270,"bash, data_viz, photoshop, scikit_learn, tableau",Masters,13,Machine Learning Engineer
1271,"aws, data_viz, figma, jenkins",Bootcamp,15,DevOps Engineer
1272,"communication, figma, rust",Bachelors,8,Product Manager
1273,"angular, csharp, kafka, r, redis, scikit_learn",Masters,2,Backend Developer
1274,"docker, gcp, html, junit, mysql, rust, terraform, vue",PhD,0,DevOps Engineer
1275,"devops, dotnet, ethereum, r, react, rest_apis",Bootcamp,12,Full Stack Developer
1276,"data_viz, hadoop, jira, linux, rails, scala",Bachelors,10,Systems Administrator
1277,"angular, computer_vision, django, docker, elasticsearch, excel, vue",Bootcamp,5,Frontend Developer
1278,"blockchain, csharp, elasticsearch, scikit_learn",Bachelors,14,Blockchain Developer
1279,"css, dotnet, gitlab, grpc, nginx, powerbi, redis, scikit_learn",Bachelors,13,DevOps Engineer
1280,"computer_vision, cypress, deep_learning, docker, excel, git, numpy, pandas",Masters,6,Data Scientist
1281,"express, gitlab, microservices, nlp, nosql",Masters,14,Backend Developer
1282,"angular, azure, cicd, gitlab, mongodb_atlas, redis, scikit_learn, testing",Bootcamp,5,DevOps Engineer
1283,"computer_vision, cpp, flask, graphql, public_speaking, ruby, selenium",Bootcamp,13,Robotics Engineer
1284,"ethereum, figma, git, go, networking, nodejs, selenium, ui_design",Bachelors,9,UX/UI Designer
1285,"grpc, html, numpy, testing",PhD,13,Frontend Developer
1286,"computer_vision, css, figma, firebase, hadoop, nginx, rust",Bachelors,15,Data Scientist
1287,"azure, css, figma, javascript, laravel, problem_solving, rails",Bachelors,6,Frontend Developer
1288,"computer_vision, data_analysis, jira, php, postgresql",Bachelors,11,Data Analyst
1289,"django, rails, ruby, vue",Bootcamp,14,Frontend Developer
1290,"agile, cybersecurity, gitlab, kafka, pandas, rabbitmq",Bootcamp,2,Data Analyst
1291,"apache, docker, microservices, tableau, terraform",Bachelors,3,DevOps Engineer
1292,"css, express, sql, tensorflow",Bachelors,9,Full Stack Developer
1293,"css, django, junit, supabase",Bachelors,7,Full Stack Developer
1294,"cpp, css, sketch",Bachelors,13,Frontend Developer
1295,"excel, grpc, microservices, rust, spring, technical_writing",PhD,7,Backend Developer
1296,"angular, cicd, cypress, dotnet, kafka, nosql, postgresql, typescript",PhD,2,Frontend Developer
1297,"azure, ethereum, go, kotlin, powershell, scikit_learn, selenium, statistics",Bootcamp,1,Cybersecurity Analyst
1298,"gcp, problem_solving, r",Bachelors,1,Solutions Architect
1299,"devops, ethereum, express, redis",Bachelors,5,Backend Developer
1300,"css, django, figma, illustrator, photoshop, vue",Bootcamp,12,Frontend Developer
1301,"bash, cypress, dotnet, elasticsearch, figma, firebase, mongodb, ruby",Bootcamp,11,UX/UI Designer
1302,"data_analysis, kafka, laravel, linux, nodejs, react",Bachelors,8,Full Stack Developer
1303,"cicd, docker, git, networking, rest_apis",Bachelors,14,Software Developer
1304,"express, firebase, laravel, powerbi",Bachelors,7,Backend Developer
1305,"devops, linux, nlp",Bachelors,13,DevOps Engineer
1306,"apache, mongodb_atlas, pytorch, sql, supabase, ui_design",Bachelors,3,Machine Learning Engineer
1307,"css, gitlab, python",Bachelors,9,Backend Developer
1308,"csharp, deep_learning, nlp, photoshop",Bootcamp,11,Data Scientist
1309,"css, deep_learning, elasticsearch, github_actions, mongodb_atlas, testing, ux_research",Bachelors,15,Frontend Developer
1310,"apache, cpp, deep_learning, illustrator, r",Masters,13,Data Scientist
1311,"apache_spark, jenkins, nlp, powershell",Bachelors,7,Systems Administrator
1312,"deep_learning, dotnet, html, linux, pandas",Masters,10,Cybersecurity Analyst
1313,"css, git, supabase",Bachelors,8,Software Developer
1314,"cicd, ethereum, flask, go, jira, mysql, rust, sketch",Bachelors,7,Blockchain Developer
1315,"data_analysis, docker, html, ruby, sketch",Bootcamp,6,UX/UI Designer
1316,"cpp, docker, grpc, nginx, php, rest_apis, scala, sketch",Bootcamp,15,Backend Developer
1317,"csharp, firebase, go, hadoop, html, php, selenium",Masters,8,Frontend Developer
1318,"apache, leadership, mongodb_atlas, powershell",Masters,0,Systems Administrator
1319,"javascript, laravel, mysql, postgresql, tableau, tensorflow",Masters,14,Database Administrator
1320,"docker, go, jira, react",Bachelors,9,Full Stack Developer
1321,"apache, apache_spark, git, photoshop, powershell, pytorch, swift",Bachelors,11,Data Scientist
1322,"java, laravel, microservices, php, technical_writing",Masters,9,Backend Developer
1323,"csharp, cybersecurity, dotnet, microservices, nginx, nlp, rest_apis, ruby",Bachelors,6,Backend Developer
1324,"communication, devops, pandas, problem_solving",PhD,7,Data Analyst
1325,"cybersecurity, dotnet, laravel, numpy, pytorch, supabase",Masters,14,Cybersecurity Analyst
1326,"communication, cypress, devops, graphql, jenkins, jira, pytorch, rabbitmq",Bachelors,4,Project Manager
1327,"nosql, postgresql, python, rest_apis",Bootcamp,13,Backend Developer
1328,"bash, computer_vision, data_analysis, express",Masters,9,Robotics Engineer
1329,"apache, express, github_actions, hadoop, mongodb, public_speaking, supabase, tensorflow",PhD,2,Product Manager
1330,"blockchain, communication, grpc, html, nlp, r, scala, swift",Bachelors,5,Data Analyst
1331,"django, flask, gcp, graphql, machine_learning, solidity, typescript, ux_research",Bachelors,14,Solutions Architect
1332,"leadership, mongodb, rabbitmq",Bootcamp,12,Database Administrator
1333,"bash, css, numpy, postgresql, powerbi, powershell, swift, websockets",Bachelors,15,Systems Administrator
1334,"apache, dotnet, pytest, ruby, scikit_learn, selenium",Masters,6,QA Engineer
1335,"docker, java, jira, kotlin, project_management, sql",Bootcamp,0,Backend Developer
1336,"data_viz, flask, html, photoshop, powerbi, rest_apis, scikit_learn",Bachelors,10,Software Developer
1337,"excel, nodejs, rails, scikit_learn, ux_research",Bootcamp,5,UX/UI Designer
1338,"azure, data_analysis, gitlab, microservices, mongodb, project_management",PhD,8,Solutions Architect
1339,"communication, elasticsearch, illustrator, jenkins, powerbi, spring",Bachelors,8,Data Analyst
1340,"elasticsearch, illustrator, kotlin, php, powershell, public_speaking, react, scala",Masters,13,Product Manager
1341,"csharp, css, firebase, illustrator, pytorch, tableau",Bachelors,6,Frontend Developer
1342,"angular, elasticsearch, excel, hadoop, java, photoshop, problem_solving, pytorch",Masters,4,Frontend Developer
1343,"redis, rust, spring",Bachelors,10,Backend Developer
1344,"agile, data_analysis, docker, pandas, php, vue",PhD,3,Data Analyst
1345,"communication, gitlab, machine_learning, mongodb_atlas, scala, sql, tableau",Bootcamp,13,Data Analyst
1346,"communication, graphql, rabbitmq, react, rust",Masters,15,Full Stack Developer
1347,"cybersecurity, pandas, postgresql, pytest, python, selenium, vue",Masters,6,QA Engineer
1348,"bash, blockchain, computer_vision, devops, express, gcp, hadoop, typescript",Masters,12,DevOps Engineer
1349,"bash, dotnet, hadoop, jira",Bootcamp,15,Project Manager
1350,"ethereum, github_actions, sketch, terraform",Bachelors,6,DevOps Engineer
1351,"go, hadoop, junit, powerbi, pytorch",Bootcamp,12,Data Analyst
1352,"dotnet, java, leadership, websockets",Bachelors,12,Software Developer
1353,"dotnet, leadership, problem_solving, react, tableau, tensorflow",Masters,13,Product Manager
1354,"angular, cpp, mongodb_atlas, public_speaking, python, pytorch, rust, solidity",Masters,7,Machine Learning Engineer
1355,"bash, ruby, rust, tableau",Bachelors,0,Data Analyst
1356,"laravel, linux, powerbi, r, selenium, tableau",Bachelors,2,Data Analyst
1357,"angular, blockchain, go, technical_writing, websockets",Masters,9,Blockchain Developer
1358,"go, kafka, problem_solving, rails",Bachelors,11,Systems Administrator
1359,"cybersecurity, flask, javascript, junit, numpy, testing, typescript, vue",Bachelors,5,Frontend Developer
1360,"go, rust, sketch",Masters,15,UX/UI Designer
1361,"gcp, pandas, project_management, tensorflow, ux_research",Bachelors,9,Data Scientist
1362,"django, jenkins, jira",Bachelors,2,DevOps Engineer
1363,"graphql, linux, pytorch, rails",Bachelors,7,Machine Learning Engineer
1364,"elasticsearch, kotlin, laravel, swift, typescript",Masters,15,Frontend Developer
1365,"csharp, project_management, pytorch, r, sketch, spring",Bachelors,5,Machine Learning Engineer
1366,"grpc, hadoop, solidity",PhD,4,Blockchain Developer
1367,"cypress, github_actions, html, kafka, php, rest_apis",PhD,10,Frontend Developer
1368,"nginx, nlp, rust, spring, vue",Bootcamp,14,Data Scientist
1369,"cpp, dotnet, numpy, project_management, redis",Masters,4,Data Scientist
1370,"kafka, networking, rest_apis, sql, ux_research",Masters,4,Backend Developer
1371,"networking, nginx, public_speaking, rust, ui_design",Masters,14,UX/UI Designer
1372,"mysql, powerbi, project_management, python, rest_apis",Bootcamp,13,Data Analyst
1373,"csharp, css, mysql, postgresql, powerbi, scikit_learn",Bachelors,12,Database Administrator
1374,"bash, csharp, elasticsearch, gitlab, public_speaking, rabbitmq, scala, solidity",Bachelors,3,DevOps Engineer
1375,"cicd, css, flask, gcp, git, grpc, numpy, rabbitmq",Bachelors,13,Software Developer
1376,"gitlab, nosql, typescript",Bachelors,5,Database Administrator
1377,"devops, pandas, redis, scikit_learn, ux_research",Bachelors,6,UX/UI Designer
1378,"communication, git, junit, laravel, networking",Masters,14,Systems Administrator
1379,"apache_spark, mongodb_atlas, websockets",Masters,3,Backend Developer
1380,"graphql, pandas, sql, websockets",Masters,1,Data Analyst
1381,"elasticsearch, flask, linux, networking, tensorflow",Masters,8,Systems Administrator
1382,"elasticsearch, grpc, redis, sql",Bootcamp,8,Backend Developer
1383,"data_analysis, deep_learning, hadoop, microservices, nginx, nosql, powershell, tableau",Masters,10,Data Analyst
1384,"flask, leadership, mongodb, public_speaking",Bachelors,6,Product Manager
1385,"azure, csharp, deep_learning, flask, jenkins, rails, testing",Bootcamp,13,DevOps Engineer
1386,"computer_vision, dotnet, laravel, linux, react, spring, swift",PhD,13,DevOps Engineer
1387,"cicd, javascript, kubernetes, machine_learning",Bachelors,14,DevOps Engineer
1388,"computer_vision, cybersecurity, data_viz, go, graphql, laravel, supabase",Bootcamp,9,Data Scientist
1389,"django, github_actions, postgresql, ui_design",Bachelors,1,DevOps Engineer
1390,"junit, nginx, tensorflow, vue",Masters,1,QA Engineer
1391,"agile, apache, hadoop, rabbitmq, rails, ui_design",Bachelors,13,UX/UI Designer
1392,"data_analysis, nginx, supabase, swift",Bachelors,12,Data Analyst
1393,"grpc, jira, kubernetes, leadership, nodejs, powershell, technical_writing, tensorflow",Bachelors,10,Backend Developer
1394,"github_actions, graphql, ui_design",Masters,9,Full Stack Developer
1395,"bash, data_viz, elasticsearch, kafka, mongodb, scikit_learn, solidity, ui_design",Bachelors,8,DevOps Engineer
1396,"git, github_actions, leadership, mongodb, pytest, pytorch, rest_apis, technical_writing",Bachelors,13,Technical Writer
1397,"azure, communication, computer_vision, ethereum, microservices, public_speaking, redis",Bachelors,14,Solutions Architect
1398,"computer_vision, express, firebase, gitlab, graphql, java, mongodb_atlas, tensorflow",Bachelors,7,Backend Developer
1399,"agile, leadership, scikit_learn",Bootcamp,2,Project Manager
1400,"aws, excel, mongodb_atlas, nlp, rust, websockets",PhD,5,Solutions Architect
1401,"gitlab, jira, powerbi, scikit_learn, selenium, statistics, supabase",Bootcamp,3,Data Analyst
1402,"agile, mongodb, scikit_learn, websockets",Bootcamp,13,Project Manager
1403,"devops, flask, html, kafka, linux, machine_learning, redis, ux_research",Bachelors,11,Backend Developer
1404,"bash, blockchain, graphql, html, numpy, terraform, ux_research, vue",Bachelors,9,Frontend Developer
1405,"apache_spark, linux, problem_solving, supabase, typescript",Bachelors,9,Cloud Engineer
1406,"communication, flask, git, rails, spring, terraform",Bachelors,9,Cloud Engineer
1407,"css, github_actions, go, sql, ux_research",Bachelors,2,UX/UI Designer
1408,"apache, graphql, problem_solving, pytorch, spring, terraform",Bachelors,13,Backend Developer
1409,"angular, cicd, gitlab, linux",Bachelors,7,DevOps Engineer
1410,"angular, cpp, firebase, ux_research",PhD,6,Robotics Engineer
1411,"communication, linux, numpy, project_management, rails, rust, spring",Bachelors,15,Project Manager
1412,"blockchain, computer_vision, cypress, mysql, project_management, rabbitmq, technical_writing",Masters,9,Blockchain Developer
1413,"cpp, elasticsearch, machine_learning, powerbi, solidity",Bachelors,11,Data Scientist
1414,"gitlab, microservices, nosql, php, powerbi, statistics",Bachelors,0,Data Scientist
1415,"linux, mongodb_atlas, nodejs, photoshop, scikit_learn",Bootcamp,5,DevOps Engineer
1416,"cicd, devops, excel, flask, git, testing",Bachelors,3,Software Developer
1417,"data_viz, html, nodejs, powerbi, pytest, scikit_learn",Bootcamp,1,Frontend Developer
1418,"git, kafka, pytest, supabase",Masters,9,Backend Developer
1419,"ethereum, java, pandas, rails, sql, tensorflow, testing",Bootcamp,15,Data Scientist
1420,"agile, pandas, photoshop",Bachelors,3,Project Manager
1421,"bash, csharp, dotnet, firebase, flask, junit",Masters,13,Systems Administrator
1422,"css, gitlab, illustrator, java, scala, terraform",Bachelors,5,DevOps Engineer
1423,"aws, github_actions, go, laravel, machine_learning, r, tensorflow",Bachelors,11,Data Scientist
1424,"devops, illustrator, rust",Masters,8,Systems Administrator
1425,"angular, deep_learning, tableau",Bachelors,13,Data Scientist
1426,"cypress, figma, javascript, vue",Bootcamp,4,Frontend Developer
1427,"devops, kotlin, linux, powershell, pytorch",Bachelors,1,Data Scientist
1428,"gcp, java, junit, networking, powerbi, rabbitmq, react",Bachelors,10,Cloud Engineer
1429,"communication, cybersecurity, jira, kubernetes, nosql, public_speaking, websockets",Masters,0,Product Manager
1430,"blockchain, data_viz, git, grpc, networking, pandas, powerbi, spring",Bootcamp,0,Data Analyst
1431,"gcp, pandas, scikit_learn",Bachelors,7,Data Analyst
1432,"gitlab, javascript, jira, kotlin, swift",Bachelors,4,Product Manager
1433,"linux, networking, project_management, public_speaking, r, rails",Bachelors,11,Cybersecurity Analyst
1434,"data_analysis, django, pytest",Bootcamp,12,Full Stack Developer
1435,"cpp, public_speaking, rest_apis, scikit_learn",Bootcamp,14,Solutions Architect
1436,"apache_spark, csharp, github_actions, kubernetes, laravel, leadership, react, sql",Bachelors,13,Backend Developer
1437,"numpy, pandas, testing, ux_research",Masters,7,Data Scientist
1438,"docker, elasticsearch, grpc, python, ui_design",Bootcamp,6,UX/UI Designer
1439,"gcp, pytorch, supabase",Bachelors,11,Machine Learning Engineer
1440,"cypress, ruby, ux_research",Bootcamp,12,Frontend Developer
1441,"data_analysis, github_actions, go, r, scikit_learn, supabase",Masters,5,DevOps Engineer
1442,"gitlab, junit, nlp, nosql, photoshop, testing",PhD,14,QA Engineer
1443,"apache_spark, express, powerbi, ruby",PhD,12,Full Stack Developer
1444,"nlp, pytorch, typescript",Bachelors,10,Data Scientist
1445,"apache, mongodb, pandas, project_management, rust",Bootcamp,4,Project Manager
1446,"data_viz, networking, rust, spring",Bachelors,13,Cybersecurity Analyst
1447,"communication, github_actions, r, spring, vue",Masters,0,Project Manager
1448,"cpp, cybersecurity, hadoop, rest_apis, selenium, ux_research",PhD,15,QA Engineer
1449,"communication, figma, rest_apis, tableau",Bachelors,14,Data Analyst
1450,"javascript, mongodb_atlas, networking, photoshop, powershell",PhD,3,Cybersecurity Analyst
1451,"azure, bash, ux_research",Bootcamp,10,DevOps Engineer
1452,"cypress, dotnet, express, html, postgresql, project_management, redis",Bachelors,4,Frontend Developer
1453,"blockchain, gitlab, graphql, spring",Bachelors,4,Backend Developer
1454,"agile, flask, git, leadership, machine_learning, networking, public_speaking, python",Bootcamp,10,Data Scientist
1455,"cybersecurity, scala, solidity",Masters,1,Blockchain Developer
1456,"elasticsearch, github_actions, junit, problem_solving, rails, rest_apis, technical_writing",Masters,5,QA Engineer
1457,"blockchain, go, tensorflow, testing",Bachelors,3,Blockchain Developer
1458,"excel, express, public_speaking, rust",Bachelors,5,Data Analyst
1459,"blockchain, github_actions, postgresql, rust, spring, supabase, testing",Bachelors,15,Database Administrator
1460,"networking, rabbitmq, solidity",Bootcamp,14,Cybersecurity Analyst
1461,"django, graphql, project_management",Bachelors,4,Backend Developer
1462,"data_viz, github_actions, leadership, public_speaking, rust",Masters,10,Project Manager
1463,"cicd, figma, github_actions, java, problem_solving, pytest, r, rabbitmq",PhD,11,DevOps Engineer
1464,"deep_learning, ethereum, kafka",Bachelors,12,Data Scientist
1465,"agile, azure, javascript, laravel, rest_apis, ruby, tableau, technical_writing",Bachelors,4,Solutions Architect
1466,"data_viz, gitlab, postgresql, powerbi, scikit_learn",Bootcamp,0,Machine Learning Engineer
1467,"illustrator, laravel, microservices, project_management, ruby, tableau",Bachelors,13,Project Manager
1468,"data_analysis, docker, gcp, kubernetes, laravel, tensorflow, ui_design",PhD,5,Cloud Engineer
1469,"agile, azure, github_actions, kotlin, nginx, statistics, supabase",Bachelors,15,DevOps Engineer
1470,"cybersecurity, ethereum, rest_apis, scikit_learn",Bachelors,12,Blockchain Developer
1471,"kafka, sketch, swift",Masters,13,UX/UI Designer
1472,"blockchain, data_analysis, django, ethereum, firebase, public_speaking, technical_writing, ui_design",Bachelors,1,Blockchain Developer
1473,"deep_learning, github_actions, kafka, mongodb, photoshop, pytest, statistics, technical_writing",Bachelors,10,QA Engineer
1474,"excel, hadoop, java, project_management",Bootcamp,13,Project Manager
1475,"angular, cybersecurity, nlp, project_management, selenium, technical_writing, typescript",Bachelors,3,Frontend Developer
1476,"cicd, docker, php, pytorch, sql, ui_design",Bootcamp,9,DevOps Engineer
1477,"express, javascript, jira, leadership, mysql, rest_apis, spring, terraform",PhD,4,Backend Developer
1478,"aws, nlp, powershell, r, tableau, ui_design, ux_research",Masters,11,UX/UI Designer
1479,"docker, grpc, html, junit, pytorch, rails, supabase, terraform",Bootcamp,13,Machine Learning Engineer
1480,"blockchain, cybersecurity, figma, gcp, mysql, photoshop",Bachelors,8,Cybersecurity Analyst
1481,"go, pytest, pytorch, sketch, swift, technical_writing",Masters,2,Machine Learning Engineer
1482,"gcp, project_management, rails, ux_research",Bachelors,7,Cybersecurity Analyst
1483,"flask, rest_apis, rust",Bootcamp,15,Solutions Architect
1484,"cicd, cpp, css, kubernetes, python, r, solidity, swift",Bootcamp,8,DevOps Engineer
1485,"apache, cpp, linux, selenium",Masters,4,Robotics Engineer
1486,"gcp, pandas, project_management, rabbitmq, ux_research, vue",Masters,13,Data Analyst
1487,"communication, firebase, project_management",Bootcamp,15,Technical Writer
1488,"aws, azure, cpp, cypress, firebase, github_actions, kubernetes, tensorflow",Bootcamp,8,DevOps Engineer
1489,"cpp, kubernetes, laravel, mysql, numpy, php, powerbi",Bachelors,3,Data Scientist
1490,"github_actions, gitlab, go, laravel, nosql, statistics, swift, technical_writing",Bachelors,1,DevOps Engineer
1491,"data_viz, figma, graphql, kafka, kotlin, mongodb",Masters,1,Backend Developer
1492,"agile, apache_spark, cpp, css, hadoop, leadership, scala",Bachelors,4,Project Manager
1493,"csharp, graphql, php, public_speaking, solidity",Masters,11,Backend Developer
1494,"go, mongodb, project_management, pytorch, scikit_learn, supabase, vue",PhD,15,Project Manager
1495,"cybersecurity, nodejs, pytest",Masters,13,Full Stack Developer
1496,"elasticsearch, figma, pytest",Bachelors,0,QA Engineer
1497,"aws, data_viz, deep_learning, statistics",Bootcamp,5,Data Scientist
1498,"bash, github_actions, gitlab, html, powerbi, python, technical_writing",Bachelors,3,DevOps Engineer
1499,"azure, cybersecurity, kotlin, powershell, supabase, typescript, websockets",Bachelors,8,Cybersecurity Analyst
1500,"cpp, flask, nlp, nodejs, sketch, websockets",Masters,7,Full Stack Developer
1501,"docker, jira, pytorch, tableau, terraform, vue",Bachelors,3,Cloud Engineer
1502,"cypress, excel, jira, numpy, photoshop, project_management, rest_apis",Bootcamp,9,Product Manager
1503,"project_management, selenium, tableau, tensorflow",Bootcamp,6,Product Manager
1504,"cicd, statistics, typescript",Bachelors,2,Data Scientist
1505,"agile, java, project_management, pytorch, selenium, tensorflow",Bachelors,14,Machine Learning Engineer
1506,"cpp, devops, django, java, nosql, powerbi, rust",Bachelors,4,Database Administrator
1507,"angular, django, ethereum, php, r, rust",Bachelors,7,Blockchain Developer
1508,"data_analysis, junit, microservices, mongodb, mongodb_atlas, scala",Masters,7,Backend Developer
1509,"html, microservices, selenium, sql",Bachelors,15,Backend Developer
1510,"data_viz, gitlab, illustrator, linux, mongodb, solidity, terraform",PhD,13,DevOps Engineer
1511,"django, dotnet, ethereum, junit, nodejs, postgresql, pytest, sketch",Masters,5,Backend Developer
1512,"illustrator, machine_learning, mysql, python, rest_apis, spring",Bachelors,10,Data Scientist
1513,"apache, csharp, go, r, rails",Masters,1,Project Manager
1514,"html, nodejs, numpy, project_management, scala, scikit_learn",PhD,13,Full Stack Developer
1515,"agile, communication, jenkins, networking, rails",Bachelors,15,DevOps Engineer
1516,"cybersecurity, devops, microservices, powershell, ux_research",Bachelors,4,Cybersecurity Analyst
1517,"elasticsearch, gcp, kubernetes, microservices, networking, project_management, statistics",Bachelors,15,Solutions Architect
1518,"mongodb_atlas, public_speaking, technical_writing, websockets",Bootcamp,11,Product Manager
1519,"angular, bash, computer_vision, figma, go, leadership, project_management",Bootcamp,14,Project Manager
1520,"blockchain, data_analysis, django, javascript, leadership, ruby, typescript, websockets",Bachelors,4,Frontend Developer
1521,"solidity, swift, websockets",PhD,6,Blockchain Developer
1522,"data_viz, excel, git, redis",Bachelors,3,Backend Developer
1523,"apache_spark, azure, gcp, machine_learning, scala, terraform, ui_design",Masters,15,DevOps Engineer
1524,"git, machine_learning, networking",Bootcamp,0,Cloud Engineer
1525,"css, junit, microservices",Bachelors,6,QA Engineer
1526,"css, devops, express, firebase, pytorch, ux_research",Bachelors,0,Machine Learning Engineer
1527,"excel, figma, firebase, github_actions, r, vue",Masters,4,UX/UI Designer
1528,"cybersecurity, ethereum, excel, powershell, ruby, spring",Bachelors,2,Cybersecurity Analyst
1529,"firebase, hadoop, numpy, pandas, public_speaking, statistics, tensorflow",Masters,15,Data Scientist
1530,"communication, linux, python, rust, swift, terraform",Masters,7,DevOps Engineer
1531,"express, github_actions, project_management",Bootcamp,14,Product Manager
1532,"agile, git, rust",Bachelors,7,Project Manager
1533,"ethereum, problem_solving, websockets",Masters,1,Blockchain Developer
1534,"git, github_actions, graphql, laravel, nginx, php, powerbi",Masters,9,Full Stack Developer
1535,"data_analysis, dotnet, excel, networking, nosql, public_speaking, swift",Masters,0,Data Analyst
1536,"gcp, powerbi, ux_research",Masters,1,Solutions Architect
1537,"data_viz, grpc, photoshop",Bootcamp,0,Robotics Engineer
1538,"bash, cypress, mongodb_atlas, supabase, testing",Bachelors,4,QA Engineer
1539,"aws, cybersecurity, data_analysis, jenkins, networking, nlp, sketch, terraform",Masters,1,Cloud Engineer
1540,"agile, apache_spark, css, data_viz, github_actions, grpc, jenkins",Bachelors,11,DevOps Engineer
1541,"computer_vision, express, html, machine_learning, rails",Bootcamp,0,Data Scientist
1542,"data_analysis, deep_learning, flask, java, javascript, nodejs",Bachelors,13,Backend Developer
1543,"cybersecurity, grpc, illustrator, machine_learning",Bootcamp,6,Data Scientist
1544,"docker, leadership, powerbi, r, rest_apis",PhD,5,Software Developer
1545,"blockchain, flask, project_management, pytorch, redis, sketch, solidity, technical_writing",Bachelors,8,Blockchain Developer
1546,"cicd, firebase, hadoop, ui_design",Bootcamp,12,DevOps Engineer
1547,"angular, jenkins, kafka",Bachelors,0,DevOps Engineer
1548,"communication, cypress, junit, php, pytorch, testing, typescript, websockets",Bootcamp,6,Frontend Developer
1549,"elasticsearch, nginx, public_speaking, tableau",Bachelors,8,UX/UI Designer
1550,"communication, csharp, devops, nosql",Masters,0,Project Manager
1551,"elasticsearch, microservices, postgresql, rails, react",Bootcamp,2,Solutions Architect
1552,"angular, figma, github_actions, php, problem_solving, solidity",Masters,12,Product Manager
1553,"microservices, mysql, nlp",Bootcamp,9,Data Scientist
1554,"azure, csharp, graphql, machine_learning, nosql, rails, tensorflow",Bachelors,7,Data Scientist
1555,"cicd, flask, go, public_speaking",Bootcamp,12,Full Stack Developer
1556,"agile, flask, javascript, python, technical_writing",Bachelors,0,Frontend Developer
1557,"graphql, javascript, leadership, sql, supabase, ux_research",Bachelors,13,Full Stack Developer
1558,"cybersecurity, data_viz, devops, pytest, supabase",Masters,15,Data Scientist
1559,"hadoop, jira, powerbi",Bootcamp,8,Project Manager
1560,"csharp, illustrator, kotlin, numpy",PhD,6,Data Scientist
1561,"data_analysis, excel, kotlin, laravel, solidity, supabase, swift, vue",Masters,3,Data Analyst
1562,"communication, html, selenium",Bachelors,2,QA Engineer
1563,"agile, cicd, jenkins, jira, powershell, public_speaking, rails, redis",Bachelors,3,Project Manager
1564,"cicd, communication, csharp, junit, nosql, project_management, public_speaking",Masters,4,Product Manager
1565,"git, javascript, jira, kafka, mongodb_atlas, networking, nosql, php",Bachelors,3,Systems Administrator
